Repo,Path,File,Lines of Code
7_complect,main.py,main.py,30
bitcoin_prediction,engine.py,engine.py,111
bitcoin_prediction,test.py,test.py,43
example-dvc-experiments,src/data_load.py,data_load.py,32
example-dvc-experiments,src/data_split.py,data_split.py,37
example-dvc-experiments,src/featurize.py,featurize.py,37
example-dvc-experiments,src/train.py,train.py,112
Face-recognation,main.py,main.py,247
Game-Of-Life,main.py,main.py,99
Generation-of-medical-data,Anonymity.py,Anonymity.py,87
Generation-of-medical-data,CreateData.py,CreateData.py,50
Generation-of-medical-data,Decode.py,Decode.py,41
Generation-of-medical-data,Parsing (unused)/parsing_doctors.py,parsing_doctors.py,14
Generation-of-medical-data,Parsing (unused)/parsing_illness.py,parsing_illness.py,20
Generation-of-medical-data,different_functions/get_fun.py,get_fun.py,216
Generation-of-medical-data,different_functions/input.py,input.py,109
Generation-of-medical-data,different_functions/schedule.py,schedule.py,32
GitHub-Statistics,app.py,app.py,176
GitHub-Statistics,main.py,main.py,61
GitHub-Statistics,statsplots.py,statsplots.py,45
Heuristic_algorithms,main.py,main.py,61
Heuristic_algorithms,methods/ant.py,ant.py,97
Heuristic_algorithms,methods/genetic.py,genetic.py,180
Heuristic_algorithms,methods/neighborhood.py,neighborhood.py,50
Heuristic_algorithms,methods/simulated_annealing.py,simulated_annealing.py,70
Heuristic_algorithms,methods/swarm.py,swarm.py,166
Heuristic_algorithms,template/all_functions.py,all_functions.py,50
Heuristic_algorithms,template/body.py,body.py,141
Heuristic_algorithms,template/show.py,show.py,210
Heuristic_algorithms,template/widgets.py,widgets.py,152
Heuristic_algorithms,windows/annealing_window.py,annealing_window.py,19
Heuristic_algorithms,windows/ant_window.py,ant_window.py,21
Heuristic_algorithms,windows/genetic_window.py,genetic_window.py,28
Heuristic_algorithms,windows/neighbor_window.py,neighbor_window.py,8
Heuristic_algorithms,windows/swarm_window.py,swarm_window.py,29
Mathstatistics,Task_3/LRR.py,LRR.py,38
Mathstatistics,Task_4/BRR.py,BRR.py,45
Mathstatistics,Task_5/QRR.py,QRR.py,44
Mathstatistics,Task_5/RRR.py,RRR.py,55
Mathstatistics,dfprepare.py,dfprepare.py,21
Mathstatistics,mathstats.py,mathstats.py,129
Mathstatistics,mathstatsplots.py,mathstatsplots.py,213
Mathstatistics,regression.py,regression.py,65
OpenMPI_Practice,doExperiments.py,doExperiments.py,83
OpenMPI_Practice,myplots.py,myplots.py,93
OpenMP_Practice,myplots.py,myplots.py,80
Optimization-methods,dz1.py,dz1.py,98
Optimization-methods,dz2.py,dz2.py,125
Optimization-methods,dz4.py,dz4.py,145
Optimization-methods,number_method.py,number_method.py,21
titanic-pipelines,src/dfprepare.py,dfprepare.py,21
titanic-pipelines,src/models.py,models.py,172
TonConverter.io,app/converter.py,converter.py,29
TonConverter.io,app/main.py,main.py,108
TonConverter.io,bot/converter.py,converter.py,83
TonConverter.io,bot/keyboards.py,keyboards.py,39
TonConverter.io,bot/main.py,main.py,165
TonConverter.io,converter.py,converter.py,31
